rank,title,singer
1,沙漠骆驼,展展与罗罗
2,卡路里（电影《西虹市首富》插..,火箭少女101
3,往后余生,"马良,孙茜茹"
4,只要平凡,"张杰,张碧晨"
5,无问西东,王菲
6,我的爱（慕思《觉/醒》视频主题曲）,许巍
7,至少还有你爱我,"龙梅子,王娜"
8,半壶纱,刘珂矣
9,寂寞的人伤心的歌,"龙梅子,杨海彪"
10,你不来我不老 (对唱版),"高安,西单女孩"
11,演员,薛之谦
12,《绝代风华》（天下3十周年主题曲）,许嵩
13,红颜旧,崔子格
14,沙漠骆驼,夏雨菲
15,一起红火火,凤凰传奇
16,哑巴,薛之谦
17,只羡鸳鸯不羡仙（电影同名主题曲）,安琥
18,独孤天下,李玉刚
19,You and me,林志玲
20,胡广生（电影《无名之辈》宣传推..,任素汐
21,都说,"龙梅子,老猫"
22,明智之举,许嵩
23,后来,刘若英
24,你是我今生的依靠,"冷漠,杨小曼"
25,大鱼,周深
26,我想你了,李雨儿
27,最好,薛之谦
28,狐狸（电影《二代妖精之今生有幸..,薛之谦
29,逆流成河,金南玲
30,一百万个可能,Christine Welch
31,东西,林俊呈
32,如约而至,许嵩
33,过,龙梅子
34,最美的期待,南征北战NZBZ
35,唱一首情歌,"龙梅子,冷漠"
36,38度6（DJ版）,8先生
37,风筝,关晓彤
38,风雨无阻,周华健
39,武夷来思,降央卓玛
40,暧昧,薛之谦
41,你在我的爱情里,杜德伟
42,小苹果（新年Remix版）,筷子兄弟
43,青春料理（《完美的餐厅》主题曲）,"李子璇,陈意涵"
44,风筝误,刘珂矣
45,瓜很甜,后弦
46,怒放,"龙梅子,葛荟婕"
47,终于等到你,张信哲
48,想你啦,"冷漠,龙梅子"
49,你还要我怎样,薛之谦
50,当爱已成往事,张国荣
51,后来的我们（电影《后来的我们》..,五月天
52,大王叫我来巡山,"贾乃亮,贾云馨"
53,灵魂走在大街上,韩红
54,一冷一热,戚薇
55,亲爱的 你在哪里,"龙飞,门丽"
56,我在红尘中遇见你,"张冬玲,冷漠"
57,晚安喵,艾索
58,月弯弯,陈洁仪
59,夜里不睡的人,"小山,东来东往"
60,落花成泥,鞠婧祎
61,肆无忌惮,薛之谦
62,时而,"段林希,李斯丹妮"
63,灰姑娘,郑钧
64,求带走,谢容儿
65,恋恋风尘,老狼
66,刚刚好,薛之谦
67,（一个男人）一个女人和浴室,"古天乐,谢安琪"
68,白夜,郭美美
69,伤心太平洋,任贤齐
70,花桥流水 (女生版),纳兰珠儿
71,敬自己一杯,龙梅子
72,小芳,李春波
73,My Love,刘德华
74,故乡,许巍
75,暖山,刘珂矣
76,New Silk Road,Maksim
77,当爱已成往事,"林忆莲,李宗盛"
78,勇气,梁静茹
79,那好吧,SNH48李艺彤
80,绒花,韩红
81,鬼迷心窍,周华健
82,你怎么舍得我难过,黄品源
83,飞云之下,"韩红,林俊杰"
84,最炫小苹果,"凤凰传奇,筷子兄弟"
85,美丽的牧羊姑娘,乌兰图雅
86,他一定很爱你,阿杜
87,三百六十五个祝福,蔡国庆
88,那一年,许巍
89,忠于自我,韩红
90,讲真的,曾惜
91,叹云兮,鞠婧祎
92,挪威的森林,伍佰
93,如河,张韶涵
94,玩所未玩,徐良
95,梦醉荷塘,"高安,云菲菲"
96,去年夏天,夏雨菲
97,醉赤壁,林俊杰
98,无虑（北镇文化主题曲）,刘珂矣
99,想你的时候会唱起这首歌,"冷漠,杨小曼"
100,乌兰姑娘,乌兰图雅
101,为你写诗（电影《为你写诗》同名..,"汪苏泷,周洁琼"
102,橄榄树,齐豫
103,回到拉萨,郑钧
104,凡人歌,李宗盛
105,让一切走吧,龙梅子
106,北京北京,汪峰
107,大千世界,许嵩
108,如果这就是爱情,SNH48_HO2
109,莫斯科郊外的晚上,乌兰图雅
110,笑红尘,陈淑桦
111,半首歌（正式版）,王蓉
112,嘟嘟嘟,苏仨
113,愿做菩萨那朵莲,路勇
114,草原妹妹,乌兰图雅
115,朝圣之心,韩红
116,不值得,徐若瑄
117,纸短情长,夏雨菲
118,一生所爱,"卢冠廷,莫文蔚"
119,HERO,李子璇
120,最好的年纪,陈洁仪
121,花心,周华健
122,我要你,任素汐
123,MAMI,SNH48_BLUEV
124,Matrimonio de Amor,Richard Clayderman
125,天边,云飞
126,阿果吉曲,海来阿木
127,一个女人和浴室,谢安琪
128,不见不散,孙楠
129,在何方（DJ小鱼儿版),杜歌
130,抱一抱自己,江映蓉
131,天气预爆（电影《天气预爆》同名..,筷子兄弟
132,咱当兵的人,刘斌
133,漂洋过海来看你,娃娃
134,哥谣,黑龙
135,江南,林俊杰
136,领悟,辛晓琪
137,远走高飞(Cover 金志文),Evan浩
138,越过山丘,杨宗纬
139,可不可以,夏雨菲
140,体面,夏雨菲
141,一生有你,水木年华
142,天下有情人,"周华健,齐豫"
143,Mr.Sorry,赵泳鑫
144,友情岁月（电影《黄金兄弟》插曲）,"郑伊健,陈小春,谢天华,钱嘉乐,林晓峰"
145,昙花,胡夏
146,爱的代价,张艾嘉
147,老屋,降央卓玛
148,最近比较烦,"周华健,品冠,李宗盛"
149,不要害怕,"何炅,胡莎莎"
150,有你有我,罗中旭
151,一百万个可能,虎二
152,羞答答的玫瑰静悄悄地开,胡夏
153,爱.如果可以重来,音乐铁人-刘明峰
154,归去来,"胡兵,希莉娜依"
155,栀子花开,何炅
156,东走迷,戴荃
157,雨花石,李玉刚
158,不能忘不能爱,曹越
159,放轻松,靖佩瑶
160,我以茶之名,降央卓玛
161,找到你（电影《找到你》同名主题..,李剑青
162,Another Day in Paradise,Plan Three
163,See You Again,"Wizard See,Clone"
164,庐州月,许嵩
165,《爸爸去哪儿》第六季主题曲,群星
166,言不由衷,徐佳莹
167,自由地飞,音乐铁人-刘明峰
168,重返十七岁,"鹿晗,陈嘉桦,大张伟,张丹峰,潘玮柏,刘敏涛,薛之谦,魏晨,张慧雯"
169,小半,陈粒
170,燕衔泥,眉佳
171,Favourite,Stephane Moraille
172,十九岁,赵雷
173,样子（ 电影《你好，之华》主题曲..,周迅
174,难念的经,周华健
175,天涯,任贤齐
176,鬼迷心窍,李宗盛
177,芙蓉雨,刘珂矣
178,抖音最火,颜妹
179,视而不见,宇桐非
180,小夜曲-舒伯特,新雅室内空气乐队
181,美美哒,门丽
182,风誓,刘珂矣
183,笨的可怜,"王圆坤,莫龙丹"
184,你知道（福利版）,刘扬LY
185,伤心是一种说不出的痛,黄格选
186,走马,陈粒
187,我是一只鱼,任贤齐
188,弹起我心爱的土琵琶,梦鸽
189,一千年以后,林俊杰
190,我愿人长久,李健
191,无问,毛不易
192,一时间,韩红
193,等光,孙怡
194,为爱活下去(电影《非洲遇见你》主..,崔子格
195,心太软,任贤齐
196,离不开,庄妮
197,海阔天空,Beyond
198,Sailors,Jono
199,不哭,Sunnee
200,很爱很爱你,刘若英
201,可惜不是你,梁静茹
202,不会告别,张新洁
203,爱情小丑,廖晶
204,冰糖葫芦,冯晓泉
205,动物世界,李宇春
206,朋友,周华健
207,时光如剪（电影《古剑奇谭之流月..,JC陈泳彤
208,年轮,张碧晨
209,童话,光良
210,初恋的地方,张信哲
211,爱上你的全世界,"高安,乌兰托娅"
212,红叶子,音乐铁人-刘明峰
213,父亲的草原母亲的河,云飞
214,只有你陪我一起唱歌,老狼
215,你的眼角流着我的泪,门丽
216,My Sunshine,张杰
217,影（电影《影》同名主题曲）,"谭维维,梁博"
218,爱江山更爱美人,李丽芬
219,可念不可说,崔子格
220,好了伤疤忘了疼,大庆小芳
221,为你我受冷风吹,林忆莲
222,东西（女生版）,阿敏
223,忘尘谷,刘珂矣
224,起风了,郭美美
225,说散就散(Cover 袁娅维),王毛毛
226,惊鸿一面,许嵩
227,追逐时光的脚步,曾帅
228,你要的全拿走,胡彦斌
229,再见,张震岳
230,星光灿烂,罗中旭
231,小酒窝,"林俊杰,蔡卓妍"
232,唱支山歌给党听,陈燕
233,世相,邵夷贝
234,草原之夜,乌兰图雅
235,当爱在靠近,刘若英
236,红颜旧,刘涛
237,有没有一首歌会让你想起我,周华健
238,美若黎明,李健
239,一生相守,陈咏
240,九色鹿,霍尊
241,Wait There,Easy Listening Piano
242,春水流,黄格选
243,听说爱情回来过,林忆莲
244,The March,Jono
245,星月神话,金莎
246,绣荷包,阿宝
247,原来你是这样的人,孙盛希
248,送别,韩红
249,流浪,卢焱
250,梨花颂,李玉刚
251,曹操,林俊杰
252,多爱一天,萱萱
253,无敌,邓超
254,歌声不断酒不断,"琪琪格,雨禾,铁文太,石焱"
255,Faded,"The Harmony Group,Marta Espinosa"
256,Симфония № 4（交响乐4..,Vitas
257,只是没有如果,"张靓颖,王铮亮"
258,一袖云,刘珂矣
259,来日方长,"黄龄,薛之谦"
260,下定决心忘记你 (乞丐版),暴林
261,摇摆哥,王绎龙
262,神泣,戴荃
263,背对背拥抱,林俊杰
264,B小调雨后,叶蓓
265,Fathers & Daughters,Michael Bolton
266,夏洛特烦恼,金志文
267,天行九歌,霍尊
268,地铁等待,郭小萍
269,情哥哥,王二妮
270,勿念勿忧（电视剧《脱身》兄弟主..,"品冠,方炯镔"
271,彩虹下面（电影《西虹市首富》推..,赵雷
272,宁夏,梁静茹
273,听心(DJ版),晓宝
274,中国好声音,"索南扎西,高进"
275,那些花儿,朴树
276,花开的时候你就来看我,张冬玲
277,离人愁(Cover 李袁杰),我不喜欢我的名字
278,爱在上,"崔子格,盛一伦"
279,我所谓的爱,邵夷贝
280,沧海一声笑,任贤齐
281,再见路易,"杜德伟,Detroit Diamond"
282,映山红,陈燕
283,我们做夫妻,"陈娇,陈咏"
284,烫心,羽泉
285,情债难还,"冷漠,陈瑞"
286,最浪漫的事,赵咏华
287,精忠报国,屠洪刚
288,天堂,腾格尔
289,如果重来（Only If）,林育群
290,给妈妈（电影《悲伤逆流成河》插..,房东的猫
291,奇妙能力歌,陈粒
292,逆风飞行,赵传
293,新郎新娘,"陈娇,陈咏"
294,晚秋,曾帅
295,有何不可,许嵩
296,明明白白我的心,"成龙,陈淑桦"
297,小宝贝,夏天播放
298,空白格,蔡健雅
299,Balada para Adelina,Richard Clayderman
300,被风吹过的夏天（电视剧《最佳前..,"林俊杰,金莎"
301,慢慢习惯,刘德华
302,新贵妃醉酒,李玉刚
303,我怎么这么好看（青春芒果节主题..,大张伟
304,不潮不用花钱,林俊杰
305,一百万个可能,夏雨菲
306,没有说完的故事,周深
307,China Girl,罗百吉
308,Como en Amor,Richard Clayderman
309,近了远了,"王菲,杜若溪"
310,一直在路上,舒舒
311,飞鸟与鱼,齐豫
312,上学歌,曹雅卓
313,雾中列车,"李健,王俊凯"
314,卡农D大调,贵族乐团
315,Hotel California,Eagles
316,红色高跟鞋,蔡健雅
317,光,陈粒
318,新不了情,万芳
319,逆流成河,宇桐非
320,慢慢喜欢你,颜妹
321,对不起我爱你,梁静茹
322,一壶老酒,孟刚
323,报应,崔恕
324,真的爱你,Beyond
325,抽身,"陈瑞,冷漠"
326,云烟成雨（《我是江小白》动画片..,房东的猫
327,因为遇见你2018版,王源
328,我会想念你,张震岳
329,为爱痴狂,刘若英
330,Demons,Imagine Dragons
331,嘴巴嘟嘟（DJ版）,颜妹
332,千古,阿兰
333,我的祖国,时翔云
334,Una Mattina,Easy Listening Piano
335,江湖儿女（电影《江湖儿女》同名..,谭维维
336,空想念（福利版）,韩馥优
337,往后余生,朱习爱
338,流泪的情人,张冬玲
339,给自己的情书,陈洁仪
340,踏浪,徐怀钰
341,离别草原,云飞
342,SOCAN钢琴轻音乐,Socan Group
343,追光者,胡旭晨
344,房间 (新版),刘瑞琦
345,父亲写的散文诗(时光版),许飞
346,小甜歌（福利版）,苏娆
347,There Will Be Light,The Oak Ridge Boys
348,山楂树,乌兰图雅
349,平凡之路,"何威霖,许文哲"
350,如我,刘惜君
351,就算,张靓颖
352,盛夏的果实,莫文蔚
353,知心爱人,"付笛声,任静"
354,youthful beautiful<TV edit>,内田真礼
355,我在诛仙逍遥涧,王俊凯
356,爱的代价,李宗盛
357,大悲咒,敬善媛
358,唐人街,李宇春
359,陪我长大（电影《快把我哥带走》..,段奥娟
360,漂亮的姑娘,任飞扬
361,一对对鸳鸯水上漂,王二妮
362,不再见,陈学冬
363,阳光彩虹小白马,大张伟
364,午夜的列车,南征北战NZBZ
365,盗心贼,黑龙
366,西海情歌,西域胡杨
367,年轮（电视剧《花千骨》插曲）,张碧晨
368,我爱你,王菲
369,我是谁,黄渤
370,三步踩-相思的雨,"门丽,笑天"
371,毛主席的话儿记心上,徐晶晶
372,我终于失去了你,赵传
373,中国人的宣言,各族少年儿童
374,下雨的时候会想你,阿杜
375,微笑着胜利（庆祝建军91周年网宣..,张杰
376,消失的月光,李健
377,午夜DJ,王绎龙
378,最远的你是我最近的爱,"马旭成,车继铃"
379,千年等一回,高胜美
380,电台情歌,莫文蔚
381,Jade Buddha Temple,邓丽君
382,奔跑,"黄征,羽泉"
383,9277,周晏伊
384,一辈子的孤单,刘若英
385,Recuerdos de la Infancia,Richard Clayderman
386,死心塌地去爱你,门丽
387,无条件为你,梁静茹
388,My Only IRIS,THE SxPLAY
389,Baby Shark,Foozlebots
390,咱们屯里的人,罗凯楠
391,亲爱的还幸福吗,金莎
392,一百万个可能,王旭鹏
393,我管你,华晨宇
394,Red Swan,YOSHIKI
395,欢乐颂,"陈娇,陈咏"
396,喜欢你,Beyond
397,瞬间,G.E.M.邓紫棋
398,风雨彩虹铿锵玫瑰,田震
399,我喜欢上你时的内心活动,陈绮贞
400,Vincent,Don Mclean
401,又见北风吹,"胡大亮,王二妮"
402,成全,刘若英
403,特制温柔,"陈零九,麻吉弟弟"
404,把思念变成永恒,曾帅
405,我乐意,许嵩
406,一抹伤（DJ版）,孙露
407,九儿,李雨儿
408,我的将军啊,张小禄
409,Warm as you,纯音乐
410,温柔,五月天
411,Romeo y Julieta,Richard Clayderman
412,摇篮曲(舒伯特),快乐宝宝古典乐
413,长城,Beyond
414,临江仙·夜归临皋,"李健,幻境工场童声合唱团"
415,Corazonada,Richard Clayderman
416,爱我别走,张震岳
417,我是不是你最疼爱的人,潘越云
418,人海（福利版）,程小小
419,我的快乐就是想你,纳兰珠儿
420,滚滚红尘,陈淑桦
421,缘分来了就是你,"曹越,门丽"
422,伤痕,林忆莲
423,我是一只小小鸟,"任贤齐,李宗盛"
424,给自己的歌,纵贯线
425,Para Elisa,Richard Clayderman
426,广岛之恋,莫文蔚
427,喀秋莎,乌兰图雅
428,映山红,徐晶晶
429,天鹅湖-柴可夫斯基,新雅室内空气乐队
430,温哥华悲伤一号,万芳
431,不再让你孤单,任贤齐
432,世界第一等,伍佰
433,马头琴恋曲,"乌兰图雅,额尔古纳乐队"
434,煎熬,方玥
435,爱的初体验,张震岳
436,虎二 - 你一定要幸福,虎二
437,因为爱情 (法语版),弗雷德乐队
438,彩虹,羽泉
439,历历万乡,陈粒
440,战友还记得吗,小曾
441,渴望,毛阿敏
442,红星照我去战斗,林琳
443,下个，路口，见,李宇春
444,潇洒走一回,徐佳莹
445,再见青春（Goodbye Youth）,任素汐
446,离人愁,曲肖冰
447,英雄赞歌,徐晶晶
448,敖包相会,云飞
449,奔月,1022女声
450,英雄赞歌,谭娟
451,白桦林,朴树
452,男儿当自强,成龙
453,从头再来,刘欢
454,小薇,黄品源
455,满月,陈思思
456,98K不去不去怕了怕了（DJ版）,颜妹
457,不染,练练
458,在他乡,水木年华
459,味道,辛晓琪
460,别惹我,五月天
461,爱的协奏曲,新雅室内空气乐队
462,闯空门,孙盛希
463,我想静静,秋裤大叔
464,你走你的路,"陈淑桦,李宗盛"
465,可不可以,唐柏宁
466,小宝贝快快睡,时翔云
467,喜洋洋 (合奏),传奇乐坊
468,水晶,"任贤齐,徐怀钰"
469,不曾告别（三毛姐姐如晤）,"齐豫,潘越云"
470,说散就散,张丹锋
471,爱要怎么说出口,赵传
472,萍水相逢,"陈淑桦,周华健"
473,阳关三叠,行者先生
474,沉思曲-马斯内,新雅室内空气乐队
475,离兮（电影《风语咒》守护版主题..,阿兰
476,再回首,李宗盛
477,你,屠洪刚
478,西风,阿鲁阿卓
479,他不爱我,莫文蔚
480,我不想说,杨钰莹
481,卷珠帘,"李玉刚,艾伦"
482,爱一点,莫艳琳
483,亲爱的你在哪里,"龙飞,门丽"
484,红军故乡的歌,王丽达
485,别把寂寞当缘分,冷漠
486,打了一把钥匙给你,刘若英
487,周杰伦,山弟
488,一曲相思,龙飞
489,天籁之爱,云飞
490,我在你的爱情之外,阿杜
491,苏幕遮·碧云天,"李健,幻境工场童声合唱团"
492,I Want It That Way,Backstreet Boys
493,心之火,"F.I.R.,彭佳慧"
494,背叛,曹格
495,手放开,李圣杰
496,涛声依旧,毛宁
497,花期,关晓彤
498,被风吹过的夏天,"金莎,林俊杰"
499,Until Forever,曾帅
500,Historia de Amor,Richard Clayderman
